2026/08/24 02:07:08 [warn] 508#508: *2438144 a client request body is buffered to a temporary file /tmp/nginx/body/9/03/0001193039, client: 157.245.66.179, server: databasus.calpolynglab.com, request: "POST / HTTP/1.1", host: "databasus.calpolynglab.com", referrer: "https://databasus.calpolynglab.com/"
2026/08/25 04:16:53 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /yj09.php HTTP/1.1", upstream: "http://2.0.0.100:4005/yj09.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:53 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /k.php HTTP/1.1", upstream: "http://2.0.0.100:4005/k.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:54 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /w.php HTTP/1.1", upstream: "http://2.0.0.100:4005/w.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:54 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /fpwch.php HTTP/1.1", upstream: "http://2.0.0.100:4005/fpwch.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:54 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /FWAZ.php HTTP/1.1", upstream: "http://2.0.0.100:4005/FWAZ.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:54 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /blurbs.php HTTP/1.1", upstream: "http://2.0.0.100:4005/blurbs.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:54 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /100.php HTTP/1.1", upstream: "http://2.0.0.100:4005/100.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:54 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /ccc.php?p= HTTP/1.1", upstream: "http://2.0.0.100:4005/ccc.php?p=", host: "databasus.calpolynglab.com"
2026/08/25 04:16:54 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /get.php HTTP/1.1", upstream: "http://2.0.0.100:4005/get.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:54 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /images.php HTTP/1.1", upstream: "http://2.0.0.100:4005/images.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:55 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /alls.php HTTP/1.1", upstream: "http://2.0.0.100:4005/alls.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:55 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /coffexium.php HTTP/1.1", upstream: "http://2.0.0.100:4005/coffexium.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:55 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /red.php HTTP/1.1", upstream: "http://2.0.0.100:4005/red.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:55 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET ///admin.php HTTP/1.1", upstream: "http://2.0.0.100:4005///admin.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:55 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /file52.php HTTP/1.1", upstream: "http://2.0.0.100:4005/file52.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:55 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /geck.php HTTP/1.1", upstream: "http://2.0.0.100:4005/geck.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:55 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /biufile.php HTTP/1.1", upstream: "http://2.0.0.100:4005/biufile.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:56 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /dejavu.php HTTP/1.1", upstream: "http://2.0.0.100:4005/dejavu.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:56 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /aaf.php HTTP/1.1", upstream: "http://2.0.0.100:4005/aaf.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:56 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /h02ugyh.php HTTP/1.1", upstream: "http://2.0.0.100:4005/h02ugyh.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:56 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /155.php HTTP/1.1", upstream: "http://2.0.0.100:4005/155.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:56 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /ops.php HTTP/1.1", upstream: "http://2.0.0.100:4005/ops.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:56 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /mac.php HTTP/1.1", upstream: "http://2.0.0.100:4005/mac.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:56 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /makeasmtp.php?p= HTTP/1.1", upstream: "http://2.0.0.100:4005/makeasmtp.php?p=", host: "databasus.calpolynglab.com"
2026/08/25 04:16:56 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /system_log.php HTTP/1.1", upstream: "http://2.0.0.100:4005/system_log.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:57 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /pucci.php HTTP/1.1", upstream: "http://2.0.0.100:4005/pucci.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:57 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /puc.php HTTP/1.1", upstream: "http://2.0.0.100:4005/puc.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:57 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /8.php HTTP/1.1", upstream: "http://2.0.0.100:4005/8.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:57 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /1.php HTTP/1.1", upstream: "http://2.0.0.100:4005/1.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:57 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /about.php HTTP/1.1", upstream: "http://2.0.0.100:4005/about.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:57 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET //admin.php HTTP/1.1", upstream: "http://2.0.0.100:4005//admin.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:57 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET //edit.php HTTP/1.1", upstream: "http://2.0.0.100:4005//edit.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:57 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /inputs.php HTTP/1.1", upstream: "http://2.0.0.100:4005/inputs.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:58 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET //av.php HTTP/1.1", upstream: "http://2.0.0.100:4005//av.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:58 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /classwithtostring.php?p= HTTP/1.1", upstream: "http://2.0.0.100:4005/classwithtostring.php?p=", host: "databasus.calpolynglab.com"
2026/08/25 04:16:58 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET //adminfuns.php HTTP/1.1", upstream: "http://2.0.0.100:4005//adminfuns.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:58 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /ms-edit.php HTTP/1.1", upstream: "http://2.0.0.100:4005/ms-edit.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:58 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /222.php HTTP/1.1", upstream: "http://2.0.0.100:4005/222.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:58 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /BDKR28WP.php HTTP/1.1", upstream: "http://2.0.0.100:4005/BDKR28WP.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:58 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /wp.php HTTP/1.1", upstream: "http://2.0.0.100:4005/wp.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:58 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /i.php HTTP/1.1", upstream: "http://2.0.0.100:4005/i.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:59 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET //abcd.php HTTP/1.1", upstream: "http://2.0.0.100:4005//abcd.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:59 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /simple.php HTTP/1.1", upstream: "http://2.0.0.100:4005/simple.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:59 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /chosen.php HTTP/1.1", upstream: "http://2.0.0.100:4005/chosen.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:59 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /als.php HTTP/1.1", upstream: "http://2.0.0.100:4005/als.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:59 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /nox.php HTTP/1.1", upstream: "http://2.0.0.100:4005/nox.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:59 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /file59.php HTTP/1.1", upstream: "http://2.0.0.100:4005/file59.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:59 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /admin.php? HTTP/1.1", upstream: "http://2.0.0.100:4005/admin.php?", host: "databasus.calpolynglab.com"
2026/08/25 04:16:59 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /aa2.php HTTP/1.1", upstream: "http://2.0.0.100:4005/aa2.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:00 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /xamp.php HTTP/1.1", upstream: "http://2.0.0.100:4005/xamp.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:00 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /bless.php HTTP/1.1", upstream: "http://2.0.0.100:4005/bless.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:00 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /f35.php HTTP/1.1", upstream: "http://2.0.0.100:4005/f35.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:00 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /aaa.php HTTP/1.1", upstream: "http://2.0.0.100:4005/aaa.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:00 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /gecko.php HTTP/1.1", upstream: "http://2.0.0.100:4005/gecko.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:00 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /xiugai.php?p= HTTP/1.1", upstream: "http://2.0.0.100:4005/xiugai.php?p=", host: "databasus.calpolynglab.com"
2026/08/25 04:17:00 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /adminner.php HTTP/1.1", upstream: "http://2.0.0.100:4005/adminner.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:01 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /file1221.php HTTP/1.1", upstream: "http://2.0.0.100:4005/file1221.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:01 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /inx.php HTTP/1.1", upstream: "http://2.0.0.100:4005/inx.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:01 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /reviall.php HTTP/1.1", upstream: "http://2.0.0.100:4005/reviall.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:01 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /11.php?p= HTTP/1.1", upstream: "http://2.0.0.100:4005/11.php?p=", host: "databasus.calpolynglab.com"
2026/08/25 04:17:01 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /File.php HTTP/1.1", upstream: "http://2.0.0.100:4005/File.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:01 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /fi22.php HTTP/1.1", upstream: "http://2.0.0.100:4005/fi22.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:01 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /3PJcpMFsD8B.php HTTP/1.1", upstream: "http://2.0.0.100:4005/3PJcpMFsD8B.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:01 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /a3ampzmbipnkpxeqhqpsanCdefault.php HTTP/1.1", upstream: "http://2.0.0.100:4005/a3ampzmbipnkpxeqhqpsanCdefault.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:02 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /4PJcpMFsD8B.php HTTP/1.1", upstream: "http://2.0.0.100:4005/4PJcpMFsD8B.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:02 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /i99z7zzbwtpteujvv6s8hiCdefault.php HTTP/1.1", upstream: "http://2.0.0.100:4005/i99z7zzbwtpteujvv6s8hiCdefault.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:02 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /gwaih1gfzp5vuwr04Cdefault.php HTTP/1.1", upstream: "http://2.0.0.100:4005/gwaih1gfzp5vuwr04Cdefault.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:02 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /1wvekeybd9it2di2vyipgr6Cdefault.php HTTP/1.1", upstream: "http://2.0.0.100:4005/1wvekeybd9it2di2vyipgr6Cdefault.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:02 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /media.php HTTP/1.1", upstream: "http://2.0.0.100:4005/media.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:02 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /inso.php HTTP/1.1", upstream: "http://2.0.0.100:4005/inso.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:02 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /shiny.php HTTP/1.1", upstream: "http://2.0.0.100:4005/shiny.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:02 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /403dd.php HTTP/1.1", upstream: "http://2.0.0.100:4005/403dd.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:03 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /baba.php HTTP/1.1", upstream: "http://2.0.0.100:4005/baba.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:03 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /site.php HTTP/1.1", upstream: "http://2.0.0.100:4005/site.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:03 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /cabs.php HTTP/1.1", upstream: "http://2.0.0.100:4005/cabs.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:03 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /insc.php HTTP/1.1", upstream: "http://2.0.0.100:4005/insc.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:03 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /file.php? HTTP/1.1", upstream: "http://2.0.0.100:4005/file.php?", host: "databasus.calpolynglab.com"
2026/08/25 04:17:03 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /dex.php HTTP/1.1", upstream: "http://2.0.0.100:4005/dex.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:03 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /key.php HTTP/1.1", upstream: "http://2.0.0.100:4005/key.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:03 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /kir.php HTTP/1.1", upstream: "http://2.0.0.100:4005/kir.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:04 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /nofile.php HTTP/1.1", upstream: "http://2.0.0.100:4005/nofile.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:04 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /fling.php?p= HTTP/1.1", upstream: "http://2.0.0.100:4005/fling.php?p=", host: "databasus.calpolynglab.com"
2026/08/25 04:17:04 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /zoo1.php?p= HTTP/1.1", upstream: "http://2.0.0.100:4005/zoo1.php?p=", host: "databasus.calpolynglab.com"
2026/08/25 04:17:04 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /btyuio.php HTTP/1.1", upstream: "http://2.0.0.100:4005/btyuio.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:04 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /00zip.php HTTP/1.1", upstream: "http://2.0.0.100:4005/00zip.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:04 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /silver.php HTTP/1.1", upstream: "http://2.0.0.100:4005/silver.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:04 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /wp-mails.php HTTP/1.1", upstream: "http://2.0.0.100:4005/wp-mails.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:04 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /new.php HTTP/1.1", upstream: "http://2.0.0.100:4005/new.php", host: "databasus.calpolynglab.com"
2026/08/25 04:17:05 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /run.php HTTP/1.1", upstream: "http://2.0.0.100:4005/run.php", host: "databasus.calpolynglab.com"
